flight_number,scheduled_departure_date_local,scheduled_departure_datetime_local,scheduled_departure_station_code,scheduled_arrival_station_code,fleet_type,carrier,difficulty_score,difficulty_category,passengers,total_seats,load_factor,total_bags,checked_bags,transfer_bags,hot_transfer_bags,special_service_requests,scheduled_ground_time_minutes,minimum_turn_minutes,ground_buffer
4792,2025-08-04,2025-08-04T17:57:00Z,ORD,ROA,ERJ-175,Express,60.0,Medium,65,76,85.5,100,6,36,16,0.0,42,34,8
920,2025-08-03,2025-08-03T18:05:00Z,ORD,LHR,B767-300,Mainline,52.0,Medium,171,167,102.4,302,90,53,16,0.0,235,145,90
1776,2025-08-10,2025-08-10T18:20:00Z,ORD,PHL,B737-800,Mainline,44.0,Medium,180,166,108.4,171,46,39,1,0.0,76,51,25
5790,2025-08-06,2025-08-06T18:20:00Z,ORD,CRW,CRJ-200,Express,59.0,Medium,55,50,110.0,108,14,40,0,0.0,223,29,194
1398,2025-08-05,2025-08-05T18:20:00Z,ORD,ATL,B737-800,Mainline,40.0,Medium-Low,136,166,81.9,140,19,51,0,0.0,75,51,24
5470,2025-08-07,2025-08-07T08:40:00Z,ORD,GEG,ERJ-175,Express,43.0,Medium,73,76,96.1,83,14,26,3,0.0,49,34,15
374,2025-08-15,2025-08-15T16:10:00Z,ORD,MSP,A319-100,Mainline,54.0,Medium,128,126,101.6,168,21,62,2,0.0,54,43,11
1577,2025-08-15,2025-08-15T14:40:00Z,ORD,SFO,B757-300,Mainline,45.0,Medium,261,234,111.5,298,83,66,0,0.0,123,66,57
881,2025-08-03,2025-08-03T12:50:00Z,ORD,HND,B787-10,Mainline,58.0,Medium,370,318,116.4,711,102,246,15,0.0,365,155,210
2006,2025-08-09,2025-08-09T09:14:00Z,ORD,GUA,B737-MAX8,Mainline,51.0,Medium,188,166,113.3,380,131,59,0,0.0,90,65,25
307,2025-08-14,2025-08-14T09:15:00Z,ORD,COS,B737-MAX9,Mainline,34.0,Medium-Low,147,179,82.1,176,55,30,6,0.0,94,56,38
1538,2025-08-08,2025-08-08T11:05:00Z,ORD,SAV,B737-700,Mainline,45.0,Medium,188,126,149.2,174,69,18,0,0.0,100,43,57
1006,2025-08-02,2025-08-02T18:00:00Z,ORD,LGA,B737-800,Mainline,56.0,Medium,199,166,119.9,150,37,36,4,0.0,63,51,12
4395,2025-08-14,2025-08-14T18:15:00Z,ORD,TVC,CRJ-550,Express,50.0,Medium,51,50,102.0,77,3,34,3,0.0,132,29,103
1538,2025-08-06,2025-08-06T11:05:00Z,ORD,SAV,B737-700,Mainline,40.0,Medium-Low,116,126,92.1,138,38,31,0,0.0,95,43,52
2138,2025-08-08,2025-08-08T14:05:00Z,ORD,LGA,B737-800,Mainline,50.0,Medium,167,166,100.6,167,32,41,21,0.0,62,51,11
